index,text,label_text,label_code
23,"I remember a couple of.months ago when the covid b.s. was starting to fade. Some people predicted the climate ""crisis"" would be back in the limelight. They couldn't have been more correct.",Strongly disagree with climate change,-2
24,"I give up: what extinction? We are no where close to an extinction level event; yet these people want to cause pain and suffering so that you will ditch your car and buy a $55,000USD Tesla. #ClimateAction #ClimateCrisis #ClimateEmergency ",Strongly disagree with climate change,-2
25,I don't care about climate change. That's the tweet..,Strongly disagree with climate change,-2
26,I can say and think anything I want. Climate change predictions have been consistently wrong,Strongly disagree with climate change,-2
27,Climate change is not an extinction level threat. Nuclear war is.,Strongly disagree with climate change,-2
28,Climate change is a hoax just like Covid. It's all about rape and torture of innocent children!,Strongly disagree with climate change,-2
29,"Climate change denial, general lying and obfuscation, misinformation, bollocks, hard act to follow is Lawson",Strongly disagree with climate change,-2
30,"14. Fossil fuels have made our water far cleaner. (Pages 49, 58, 93, 110, 359) ",Strongly disagree with climate change,-2
31," you probably also think that COVID was an accident, that the elections were legit, that global warming is real and there is systemic racism in this country",Strongly disagree with climate change,-2
32,That's Hawaii??? Looks like ole Trump was right about climate change being a HOAX ,Strongly disagree with climate change,-2
33,SMH article TODAY ! CSIRO study proves climate change driving Australia's 800% boom in bushfires - WHAT ABSOLUTE LYING BULL SHITE !! ,Strongly disagree with climate change,-2
34,"Right on man! Tripling resource extraction over the next 50yrs , plastering the planet with windmills, toxic solar panels and poisonous batteries in the name of controlling climate change, Idiot climatetwits!",Strongly disagree with climate change,-2
35,Worse than now... wait till scomo and his band of morons get back from their G7 conference and the climate change crap fest,Strongly disagree with climate change,-2
36,It's belief. Alarmists believe normal weather events that have always happened (and always will) are evidence of climate change caused by CO2..that's an opinion of the anxious.,Strongly disagree with climate change,-2
37,"RT Has Western style democracy now failed? Election to office is by the people for the people. We now have examples in America, Australia, Canada & New Zealand, where no citizen body was asked to vote on the fake climate change narrative. Inept leaders failed us & so has democracy.",Strongly disagree with climate change,-2
38,Fuck the climate change Joe. Show us the trade deal ffs,Strongly disagree with climate change,-2
39,While Putin murders Ukrainians John Kerry & the Hollywood nutballs ARE CONCERNED the invasion will distract from the war on Climate Change  Hey Kerry here's a link to the National Historical Storm Database. You're full of POOP  https://t.co/2TQPZ47vw7 ,Strongly disagree with climate change,-2
40,forgot the last election voters rejected climate change bullshit,Strongly disagree with climate change,-2
41,"RT It becameGlobal Warming after the Impending Ice Age bullshit form my youth didn't materialize. Then, when shit didn't get warmer as they predicted, it became Climate Change. Because weather is a funny thing. It changes. These people are fkn insane. And they lie.",Strongly disagree with climate change,-2
42,"The UN reports more ""Disasters"" coming! The ""UN Office for Disaster Risk Reduction"" uses the ""International Disaster Database"" for this info. The authors say Climate Change is the main reason in many disasters (no proof offered). They get paid for this? Really? SCAM! #CLIMATESCAM",Strongly disagree with climate change,-2
43,"Not true, Check for yourself. No one credible actually says there's a human-caused climate crisis. https://t.co/rFPbo7YMBu If there were, climate action's tiny effect on temp wouldn't help enough to notice. https://t.co/YPJWDwzzpm Surprising verifiable climate facts: ",Strongly disagree with climate change,-2
44,"What misinformation is that, that climate change is just weather?? No cause for alarm i already know",Strongly disagree with climate change,-2
45,"It sucks, but you can't really say that it is climate change. These type of storms happened throughout geologic history and are recorded in the rock record.",Strongly disagree with climate change,-2
46,"Respectfully, ""converging with other threats"" is doing a huge amount of work here. There is no actual trend data. And once you start counting displacement in places like Afghanistan, after 40 years of civil war, toward the climate emergency, I'm not sure what wouldn't count...",Slightly disagree with climate change,-1
47,"Blink twice if you're in trouble twitter person, this isn't like you to support global warming ",Slightly disagree with climate change,-1
48,Greens missed their own climate change target - ironic! ,Neutral to climate change,0
49,"Wasn't Al Gore a ""prophet"" of climate change? No, he wasn't!",Neutral to climate change,0
50,"Visualiazing Climate Change - from a machine's perspective. A blend between #dataviz and #art, made with #deeplearning. Hope you love it as much as I do! #dataart ",Neutral to climate change,0
51,"Stunning and brave: anti-oil climate change protester zip ties himself to a goalpost at a Premier League football match, bringing a halt to the game. ",Neutral to climate change,0
52,No words. --> European Union Has Paid Russia $16 Billion for Fossil Fuels Since #Ukraine War Started. ,Neutral to climate change,0
53,Farts being responsible for global warming sounds more reasonable than IPL being blamed for Ashes loss #Ashes Root ,Neutral to climate change,0
54,Don't forget to submit your response to the and Climate Crisis Survey. #pwclimate ,Neutral to climate change,0
55,Did I miss the words climate change on 7.30 Report? Must have!,Neutral to climate change,0
56,Carbon capture and storage is nothing but fossil fuel industry propaganda to allow them to keep burning fossil fuels. It's ridiculously expensive to the point of not being worth it at all. It's always been a complete scam. ,Neutral to climate change,0
57,"Can someone ask Horner about climate change or another pressing issue? The man has all the answers, let's put him to good use  ",Neutral to climate change,0
58,A Maryland family replaced their grass lawn with a native plant garden. Their HOA demanded they destroy it and replant the grass. They refused. Their battle has led to the passage of a new law that forbids HOAs in the state from requiring grass. ,Neutral to climate change,0
59,"RT Fox News contributor Lisa Boothe called climate change a ""limousine liberal issue"" after President Joe Biden assembled an 85-vehicle motorcade to Rome during the #G20 summit. #JustTheNews ",Neutral to climate change,0
60,RT Many North American colleges that divested from apartheid in South Africa now have active students movements to divest from Israeli apartheid & fossil fuels. #BDS #ClimateJustice Boycott and divestment are time-honored tactics for challenging injustice. ,Neutral to climate change,0
61,"No, not in favor of renewable. This is the plan to reduce America to a dependant nation. The money made by the Elites at the expense of the people is obscene. Remember when Gore said we would be under water from Global Warming then changed to Climate Change. Real scam on America. ",Neutral to climate change,0
62,"Now we know why during COP26, activists and indigenous groups were barred from the actual conference, and the police were suppressing protests. You just couldn't make this shit up. Our 2 faced lying government in the UK. ",Neutral to climate change,0
63,"I'll try BCGreen next election. Horgan has been terrible. Disappearing to Nova Scotia during forest fires, allowing 800 people to die in a heat dome, Keeping DBH ",Neutral to climate change,0
64,"Where's the condemnation from environmentalists? EU red tape farce: Airline flew 18,000 EMPTY flights to comply with bloc's bonkers rules ",Neutral to climate change,0
65,"https://t.co/nQdI48PWXJ Revenues from fossils: 60%, from that: Gas: 10% Oil and other refined products: 90% Maybe we better start with the oil?",Neutral to climate change,0
66,"The consequences of extreme weather events are becoming dire for renters of basement apartments, including illegal units that aren't designed for people to escape hazards like flooding and fire. ",Neutral to climate change,0
67,"Even for a so-called climate president, President Biden's reliance on fossil fuel reserves during the Ukraine crisis is not surprising. ",Neutral to climate change,0
68,"RT ""Stoked by an apocalyptic panic in the richest countries in the world, unable to give up fossil fuels domestically or force their emerging economic competitors to do so, Western leaders punch down on the poorest nations in the world."" ",Neutral to climate change,0
69,Imagine how this will look to future generations? Bragging about how much oil is produced despite an obvious climate emergency. Ab and bc ndp would be just the same. Even Obama bragged about drilling for oil. Leaders have failed future generations. ,Neutral to climate change,0
70,"Are you upset? Why? This is a rational debate. Eliminate commercial waste, and we eliminate AGW.",Neutral to climate change,0
71,"; first of all I don't understand why you are poking your nose on every literally issues; be it climate change, democracy, human rights, wars, aid .the list goes on & onwho gave you this right? What an arrogance & ignorance of yours.. pity. 1/12 ",Neutral to climate change,0
72,A reminder. Much of Putin's power derives from fossil fuels. Break the need for Russian fossil fuels and you break the risk of political blackmail in Europe.,Neutral to climate change,0
73,"Well, #HeilHitler, the data says otherwise. iI EWE: The report looked at damages and loss of life incurred through extreme climate and weather incidents between 1970 and 2019. 1/2",Neutral to climate change,0
74,"Yeah his comment seemed to fit the 1st bullet point best, and is a common point by climate change deniers. That there has be global heating and cooling for millennia.",Neutral to climate change,0
75,Wth it stopped now Global warming is something.... ,Neutral to climate change,0
76,"A silver lining? 'Russian #oil and #gas is now forever linked to autocracy, war crimes, and human carnage...'The war marks the end of Russia as an energy superpower via @jeffgoodell",Neutral to climate change,0
77,John Kerry fears Russia-Ukraine war will distract from climate change ,Neutral to climate change,0
78,"Nobody quit NY Times over Dem Iraq invasion promoter Friedman writing we can only solve climate crisis by incentivizing more Elon Musks with more money & not proposing conservation lifestyle changes, even though death toll & chaos from believing that will be higher than Carlson.",Neutral to climate change,0
79,Frontiers | A Fate Worse Than Warming? Stratospheric Aerosol Injection and Global Catastrophic Risk | Climate This is cheery #ClimateEngineering @GovRonDeSantis     ,Neutral to climate change,0
80,"Farage ""Killing off Johnson's 'ruinous green agenda"" Is actually Lord Haw Haw desperately lobbying on behalf of the likes of Putin to maintain global dependence on their fossil fuels..especailly natural gas. HTH",Neutral to climate change,0
81,Meet the young black activists leading the fight against climate change ,Neutral to climate change,0
82,"RT Despite their theoretical commitment to counteracting climate change, many banks remain complicit in greenwashing - ",Neutral to climate change,0
83,ITZY's Ryujin donates 50 million Won to aid relief efforts for Gangwon forest fires ,Neutral to climate change,0
84,"We're hiring an Tier 2 Canada Research Chair in climate change, water, or future cities! Open only to people who identify as women, trans, non-binary or 2S. April 22nd deadline. ",Neutral to climate change,0
85,"In the entire history of Greenpeace protests or Extinction Rebellions protests or Occupy protests or BLM protests, this phenomenon has never occurred. ",Neutral to climate change,0
86, people who actually fear climate change don't buy mansions with oceanfront property ,Neutral to climate change,0
87,RT He fights with: - doctors - nurses - teachers - pensioners (AIMCO) He: - creates covid disaster conditions (five times [so far]) - perpetuates coal mining (a buggy whip industry fiasco) - screws up prov parks - flushes billions of taxpayer $ to pipeline - denies climate change ,Neutral to climate change,0
88,"@NASAEarth NASA is big on the Climate Crisis, making them a good choice to bring attention to the signs and warnings. ",Neutral to climate change,0
89,"This Saturday is #EarthHour 2022. People around the world will switch off the lights to highlight the threats of nature loss and climate crisis facing us today. invites everyone to #Connect2Earth. : March 26th, 2022 : 8:30 PM #seedquality #seedtesting ",Neutral to climate change,0
90,"Weekend thought: When we work with organisations to make positive change - governments to take climate action, institutions to become more equitable - are we compromising to make things a bit better or complicit in protecting a system that must be dismantled?",Neutral to climate change,0
91,"Doesn't seem to like the reality of the COP26 shitshow. All the posturing, doubling down on pledges for naught as nations revert to fossil fuels as 'renewables' continue to fail to deliver. Including UK at 371gCO2! Will he be there next year? COP27. Egypt ",Neutral to climate change,0
92,Just when a coal-fired power plant in Montana appeared poised to shut downa would-be win in the fight against climate changea bitcoin mining company stepped in to resurrect it. ,Neutral to climate change,0
93,Nothing has been done to tackle the climate change: ,Neutral to climate change,0
94,You know who very specifically is left off the hook when it comes to climate policy?  ,Neutral to climate change,0
95,"Ice free Arctic by 2015: https://t.co/4orSRSL9Up Peak oil by 2010: https://t.co/rgCjyuJvGA Britain will ""be Siberian"" in less than 20 years: https://t.co/csDm855Byi Charles: 96 months to save world: ",Neutral to climate change,0
96,NEWish: Mayoral candidates discuss policy and their plans to address concerns over climate change and environmental issues. Candidates discussed a large range of topics from the city's CAAP to transportation. Read all about it here @byMattMcFarland ,Neutral to climate change,0
97,"RT ""Build back better. Blah, blah, blah. Green economy. Blah blah blah. This is all we hear from our so-called leaders. Words that sound great but so far have not led to action. Our hopes and ambitions drown in their empty promises. ",Neutral to climate change,0
98,Unfortunately Climate Change falls through the cracks of any Government. This is because the voters will not see any benefit instantly and will likely be only felt once the next Government is installed. What we need is a plan that is agreed by all over much more than 5 yrs...,Slightly agree with climate change,1
99,Turns out it was the wrong kind of wind due to climate change,Slightly agree with climate change,1
100,the reason are many! but in no case is because of the jabs! carbonated drinks shoveling snow sport breathing to many times (WTF) stress of switching off mask mandates covid stress normal situation climate change putin fault parents fault energy price rising gas price rising ,Slightly agree with climate change,1
101,"That's after 14 years of cuts and austerity already, and with a vast national debt, huge personal debt, and no national assets left to sell off. Plus climate change to pay for. Something radical needs to be done to give the economy a kick.",Slightly agree with climate change,1
102,"So the UK's increasingly authoritarian, antidemocratic & anti-free-speech Government is to ORDER teachers to 'avoid political bias' in classrooms - they do know colonialism, slavery, climate change, inequality, & Nazism are political issues, right? RIGHT? ",Slightly agree with climate change,1
103,Russia's attack on Ukraine woke up the world to the threat of a nuclear plant's exposure to catastrophic fire. The climate crisis has put one of America's largest nuclear weapons facilities into the same kind of danger. We've got to #StopInvestingInDestruction now. ,Slightly agree with climate change,1
104,RT Salisbury Mayor and U.S. Senator Chris Van Hollen address the recently enacted Infrastructure Investment and Jobs Act in flood mitigation and climate change in Salisbury. ,Slightly agree with climate change,1
105,"RT Please join us for ""Decolonising climate change narratives on Africa"" to learn about African Knowledges for #COP26. 4 Nov. 45:30pm via MS Teams. Please check our website for more details and to register: @PriestleyCentre",Slightly agree with climate change,1
106,RT Part of the deal with the Nationals in relation to Net Zero 2050 is that they have agreed to believe in climate change by 2040,Slightly agree with climate change,1
107,It's pretty simple. You can't keep breaking promises & ignoring literal extinction level problems and expect the people who will most be affected to be excited to vote for you or your party.,Slightly agree with climate change,1
108,Interesting. With climate change tho that whole things gonna be a disaster zone,Slightly agree with climate change,1
109,"If we want to solve problems of climate change, migrants, dictatorships, corruption, human rights abuses, animal rights abuses, we need to ensure communities can be self-reliant and mechanisation. #water #heath #education #food #capitalismkills ",Slightly agree with climate change,1
110,"If we had listened to Jimmy Carter in the 1970s, America could've been the world leader in Green Energy. This would have greatly helped curtail Climate Change, stopped our Russian & Middle Eastern enemies from getting rich, and possibly avoided many disastrous wars. Tragic.",Slightly agree with climate change,1
111,"I wonder what we will all be falling out about next year. I suppose there's loads of mileage in global warming, climate change, crisis, emergency and there's always Brexit is suppose",Slightly agree with climate change,1
112,I use it to light my wood burner..just doing my bit for climate change as well..double whammy ,Slightly agree with climate change,1
113,I don't think it matters if it's climate change or a natural phenomena if shit is hitting the fan it's still hitting the fan ,Slightly agree with climate change,1
114,"Human-wildlife conflict, habitat destruction, limited resources, limited jobs, rising house prices, climate change, disease.",Slightly agree with climate change,1
115,He won't come to your house to recycle or put solar panels for you. Climate change solutions are a form of discipline and responsibility starting with the citizens including you. The same way you tell us how to take care of our health.,Slightly agree with climate change,1
116,"Gonna take awhile, buy climate change, and fascism, will do this for us eventually. ",Slightly agree with climate change,1
117,"Every issue. If you believe in AGW, you have to support the Green New Deal. If you think student debt is a problem, you have to support a bailout. Even on Covid-19, I still remember when they screamed that it was irresponsible to open beaches or schools bc Ppl are dying!",Slightly agree with climate change,1
118,"Don't tell me that bold action to avert the climate crisis is too expensive while greenlighting the $778,000,000,000 annual Pentagon budget.",Slightly agree with climate change,1
119,Aren't most Europeans green - concerned about climate change? Where are they and why are they not willing to make necessary sacrifices to stick to their available sustainable energy? Reduce dependence on Russian oil/natural gas and help Ukraine?,Slightly agree with climate change,1
120,All major phone brands  my Google Pixel 6 Pro didn't come with a charging block either. Just the charge lead. Something about climate change and wasting less  think it takes the mick that they charge us more and give us less though. ,Slightly agree with climate change,1
121,"Adapting to the pandemic would have helped with climate change too Reducing emissions by localizing economies and travelling less, especially by plane Which is why koch network hijacked the covid response with GBD Fuel usage dropped and the air was cleaner",Slightly agree with climate change,1
122,"1/2 Climate change, stress of our ecosystems & Covid-19 should remind us that we urgently need to build recovery plans for developing new food security systems & decentralized food supply chains sustainable agriculture technologies focused on reinventing farming ",Slightly agree with climate change,1
123,RT Threatened with deportation for wearing the extinction symbol. ,Slightly agree with climate change,1
124,"RT encouraged vote leave to break electoral law. He's also a member of the dark money funded GWPF, who spread misinformation about Global Heating. He's completely corrupt. ",Slightly agree with climate change,1
125,"Meet the 2022 #PassTheMic opinion writers group. Expertise across tech, teaching/education, anti-racism, public health, journalism, arts, feminism, migration, climate change and international development. https://t.co/Biep3UmR4D Really looking forward to working with them all ",Slightly agree with climate change,1
126,"We're likely to see recommendations to the for two of these projects in the next fortnight. If NSW is going to meet its climate change goals, they have to stop these mine expansion projects ",Slightly agree with climate change,1
127,Fighting climate change through public service and supporting American competitiveness with 1000 diverse new leaders - awesome! ,Slightly agree with climate change,1
128,"I think what I loathe the most about our current disaster news cycle is the unqualified use of we WE are in deep trouble, WE should have seen this coming, WE should have stopped this, WE did this to ourselves doesn't matter if it's about COVID, climate change, or fascism.",Slightly agree with climate change,1
129,"If climate change is such a threat, why is Obama buying a Hawaiian oceanside mansion?",Slightly agree with climate change,1
130,A shameful decision which will do their brand no favours. Relocation to a car-centric retail park well out of the town centre just gives the impression that they couldn't give a fig about their loyal customers or the climate emergency. They should reconsider ,Slightly agree with climate change,1
131,It's because they cannot find jobs in Brazil and other countries in South America. It's from climate change.,Slightly agree with climate change,1
132,and if not for climate change downed wires would not break out so often in huge fires.,Slightly agree with climate change,1
133,"Planting in desert areas makes an important contribution against global warming and lowers the surface temperature from up to 70C to as low as 25C. Insects, birds and other animals gratefully accept the new green oases in a short time. Every plant counts. ",Slightly agree with climate change,1
134,Bay area got LA weather now i fucks wit global warming ,Slightly agree with climate change,1
135,Labor MPs know the party's new climate target will bring them under attack from both sides for doing too little or too much. | David Crowe | ANALYSIS #auspol #climatechange ,Slightly agree with climate change,1
136,"The best threats to manipulate the masses are invisible. Terrorists in the ME, viruses, climate change, etc.",Slightly agree with climate change,1
137,How Climate Change Threatens Arctic Sea Ice and Polar Bears ,Slightly agree with climate change,1
138,RT It's crazy how the weather in the USA can target specific airlines. Climate change is something else these days. ,Slightly agree with climate change,1
139,"On Tuesday at 10am ET, my committee will hear from climate experts & advocates about whether Big Oil's recent climate pledges are real or just another example of greenwashing. Watch it here: ",Slightly agree with climate change,1
140,Climate change is not enough - these wars want to pollute and burn the planet even faster Lviv bombing today Ukraine and fire at Saudi Aramco's petroleum storage facility in Jeddah 2 days ago ,Slightly agree with climate change,1
141,If you really believe climate change is an imminent threat it has to be worth the risk.,Slightly agree with climate change,1
142,RT The Australian PM's dismal failure on climate change is denied and defended by biased journalists.. ,Slightly agree with climate change,1
143,Stop asking questions Remco.it's climate change. It's fact checked ,Slightly agree with climate change,1
144,RT Pre-vegans support: Animal cruelty/abuse Animal testing Factory farming Violence against animals Violence against humans Displacement of indigenous people Zoo/Aquarium imprisonments Climate Change Toxic masculinity Debunked nutritional myths World hunger Deforestation/dead ocean,Slightly agree with climate change,1
145,"RT Thanks to global warming, this will be the hottest girl winter yet",Slightly agree with climate change,1
146,"Does America finally have the will to hold corporate criminals to account, this time for the deaths and damage they've lied us into with climate change? If not today, how many more have to die or lose their homes before we take action? ",Slightly agree with climate change,1
147,"Excellent article on the ecological benefits of farming #mussels. Similarly for #oysters. Moreover, their shells embody built-in carbon capture, drawing down climate change CO2. And in filtering sea water's plankton, they bioextract excess nitrogen & phosphorus. Delicious! ",Slightly agree with climate change,1
148,"Australia's Great Barrier Reef is suffering its sixth mass bleaching due to heat stress caused by climate change, the reef's managers say ",Slightly agree with climate change,1
149,UN report could change the conversation on loss and damage' at November's climate negotiations | Grist ,Slightly agree with climate change,1
150,"We always suspected, after revelling in the destruction of Brexit and Covid, encouraging global warming would be the next contrarian grift. So much painfully obvious, so pitifully useless ",Slightly agree with climate change,1
151,"At my home it was 68 degrees on Thursday. Last night? 17 and a complete white-out and 5 inches of snow. Today, a balmy 29 degrees. What climate change?",Slightly agree with climate change,1
152,"Shame my efforts in Dec 2019 to get Extinction Rebellion (who were using the National War Memorial as a campsite) evicted were met with shrugs & we can't do anything by Ottawa Police, RCMP, Hill Police & VAC but glad you've finally decided it's sacred ground now! #HypocritesAll ",Slightly agree with climate change,1
153,"and committing to limit global warming to 1.5 degrees above pre-industrial temperatures. G20 nations account for 80% of global emissions, but big polluters such as China and India have also so far dug in their heels.",Slightly agree with climate change,1
154,p.3 XR Humanity's Emergency Services STOP ATTEMPTS TO CRIMINALISE NONVIOLENT CLIMATE PROTESTS - Letter signed by over 400 climate academics [26 April 2021],Slightly agree with climate change,1
155,Gen-X Existentialist Fears 1. Childhood = The Russians are coming (with nukes) 2. Adolescence to early adulthood = the planet will likely kill you if you don't fix climate change 3. Middle Age. A Pandemic + the planet is now killing you and the Russians are coming with nukes.,Slightly agree with climate change,1
156,"It will be quickly followed by ""learn to live with climate change"" which will have a lot of the same dynamics, IME.",Slightly agree with climate change,1
157,"Christian Nationalists, our biggest domestic threat behind climate change. They want to live under His Eye & I want to jab a finger in it. I don't often use the word evil for human behavior but this bullshit os evil & it infuriates the hell out of me",Slightly agree with climate change,1
158,"A boat powered by fossil fuels, no less. Geez, rich people, get a clue. ",Slightly agree with climate change,1
159,I'm probably a real jerk but right now I think climate change is pretty low on our list of concerns at this point in history.,Slightly agree with climate change,1
160,so many see climate change as an atmosphere problem it is primarily a soil problem,Slightly agree with climate change,1
161,"With your help, we can #EndExtremePovertyNOW and ensure that the world's poorest are better prepared to withstand future shocks  be it another pandemic, a heartbreaking war, or the climate crisis. Our future can't wait. Join us and start taking action: ",Strongly agree with climate change,2
162,"When you understand even a portion of the scale of the consequences of climate change, you quickly lose all patience with high-profile climate deniers and climate misinformation.",Strongly agree with climate change,2
163,"Well, global warming is a bitch, and so is mother nature",Strongly agree with climate change,2
164,"We regret to inform no, you can't have your own facts. Yes, there is a climate emergency, it's already killing people and worsening. Your privilege allows you to ignore your moral duty not to ruin the lives of others through your own stupidity + detachment from reality. ",Strongly agree with climate change,2
165,Unbearable to think it's our wreckless species that is responsible for that! #COP26 leaders! We don't need pretty words! We need drastic actions! Ban fossil fuels investment! Ban private aviation! Tax frequent flyers! Invest in green technology! @BorisJohnson,Strongly agree with climate change,2
166,"toxic FOSSIL FUELS create 6000 byproducts: chemicals, plastics, pavement, cloth, etc = CANCER Use LESS toxic FOSSIL FUELS = Less CANCER Imagine & create EVERYTHING without FOSSIL FUELS. = No Oil Shortage ",Strongly agree with climate change,2
167,Too bad you are a science/climate denier and vote against anything that helps US transition away from fossil fuels.,Strongly agree with climate change,2
168,"Today, in a full page ad in the organized by joined 24 other leading businesses across the economy calling on the federal government to ACT NOW on the climate crisis. We have the solutionsand no time to waste. ",Strongly agree with climate change,2
169,"This past summer has shown what the climate crisis means for BC moving forward. The should eliminate every single cent given to fossil fuel corporations in royalties and credits, immediately. We don't really have time for ""first steps."" #bcpoli #climatecrisis ",Strongly agree with climate change,2
170,"This is something I am very worried about. Climate change is causing more frequent disasters and disease outbreaks. In response, the rich and powerful will continue to normalize higher and higher rates of death and suffering. We must speak up now. ",Strongly agree with climate change,2
171,them: there's no hope of stopping global warming now me: ,Strongly agree with climate change,2
172,Study of health woes in Puerto Rico after Hurricane Maria New study-found long-term health problems in Hurricane Maria survivors-underscores the devastating health impacts of climate change on communities of color @DrIanWeissman ,Strongly agree with climate change,2
173,"See Jim stoke fear, hate & division. He does nothing to address the real issues facing Americans: wealth inequality, outrageous healthcare &education costs, inflation, climate change, gun deaths, etc. He's as useful as bucket full of holes. Vote him out.",Strongly agree with climate change,2
174,Santos reps in the Native Title Tribunal are seriously arguing that their massive coal seam gas project in the Pilliga will not contribute to global warming This entire project is insane. Shame on Santos and the Liberals pushing ahead with attempts to smash Gomeroi rights,Strongly agree with climate change,2
175,"RT Tomorrow at #COP26 and announce new Systematic Observations Financing Facility #SOFF, which seeks to plug weather and climate data gaps, support #climatechange adaptation and boost resilience of vulnerable countries to extreme weather #TogetherForOurPlanet ",Strongly agree with climate change,2
176,"RT The fossil fuel industry waged a massive covert campaign to deny the truth of climate change and to obstruct climate action. Now, House Oversight will dig into that crooked campaign. We lost a decade to fossil fuel lies and bullying, and they need to own what they did.",Strongly agree with climate change,2
177,"RT Most fossil fuels must stay in ground to limit climate crisis, scientists warn ",Strongly agree with climate change,2
178,"RT Climate change is a ""huge threat"" to humanity and it is very important for governments to take action as quickly as possible, Italian physics Nobel prize winner Giorgio Parisi told reporters on Tuesday. ",Strongly agree with climate change,2
179,"RT Buy less plastic & reusable shopping bag.Use long-lasting light bulbs,Energy efficient light bulbs to reduce greenhouse gas emissions.Volunteer, educate, conserve water & plant trees. #FridaysForFuture #fridays4future #ClimateAction #ClimateStrike #SDGs #climate ",Strongly agree with climate change,2
180,"RT ""Calgary councillors vote to declare climate emergency"" The vote was 13-2. Calgary is run by climate fraudster fools. ",Strongly agree with climate change,2
181,Reporting on fossil fuels without mentioning their consequence (climate change) is about as toxic as reporting on climate change without mentioning its cause (fossil fuels),Strongly agree with climate change,2
182,"Please understand there's no stopping climate change without addressing policing, without addressing capitalism, without addressing white supremacy and ablism and patriarchy. The ways we seek to make the world a better place aren't just interconnected, they're one big fight.",Strongly agree with climate change,2
183,"People that say overhead catenary wires are ""ugly"" confuse me so much. You know what's uglier than wires? Dying from climate change...",Strongly agree with climate change,2
